id,Data,Country,Type,Frequency,Currency,Units,Date,Value
107065,Volume,IE,Sovereign,Annual,EUR,Billions,2012-01-01,0.25
107066,Volume,IE,Sovereign,Annual,EUR,Billions,2013-01-01,0.5
107067,Volume,IE,Sovereign,Annual,EUR,Billions,2014-01-01,1.1
107068,Volume,IE,Sovereign,Annual,EUR,Billions,2015-01-01,1.05
107069,Volume,IE,Sovereign,Annual,EUR,Billions,2016-01-01,0.9
107070,Volume,NL,Sovereign,Annual,EUR,Billions,2011-01-01,2.6
107071,Volume,NL,Sovereign,Annual,EUR,Billions,2012-01-01,3.3
107072,Volume,NL,Sovereign,Annual,EUR,Billions,2013-01-01,3.1
107073,Volume,NL,Sovereign,Annual,EUR,Billions,2014-01-01,2.6
107074,Volume,NL,Sovereign,Annual,EUR,Billions,2015-01-01,2.4
107075,Volume,NL,Sovereign,Annual,EUR,Billions,2016-01-01,2.2
107076,Volume,CA,Sovereign,Annual,CND,Billions,2005-01-01,22.142857142857142
107077,Volume,CA,Sovereign,Annual,CND,Billions,2006-01-01,22.857142857142858
107078,Volume,CA,Sovereign,Annual,CND,Billions,2007-01-01,22.857142857142858
107079,Volume,CA,Sovereign,Annual,CND,Billions,2008-01-01,17.857142857142858
107080,Volume,CA,Sovereign,Annual,CND,Billions,2009-01-01,21.428571428571427
107081,Volume,CA,Sovereign,Annual,CND,Billions,2010-01-01,27.142857142857142
107082,Volume,CA,Sovereign,Annual,CND,Billions,2011-01-01,29.285714285714285
107083,Volume,CA,Sovereign,Annual,CND,Billions,2012-01-01,32.142857142857146
107084,Volume,CA,Sovereign,Annual,CND,Billions,2013-01-01,35.714285714285715
107085,Volume,CA,Sovereign,Annual,CND,Billions,2014-01-01,32.142857142857146
107086,Volume,BR,Sovereign,Monthly,BRL,Billions,2014-01-01,11.666666666666668
107087,Volume,BR,Sovereign,Monthly,BRL,Billions,2014-03-01,13.666666666666668
107088,Volume,BR,Sovereign,Monthly,BRL,Billions,2014-05-01,11.666666666666668
107089,Volume,BR,Sovereign,Monthly,BRL,Billions,2014-07-01,9.666666666666666
107090,Volume,BR,Sovereign,Monthly,BRL,Billions,2014-09-01,12.333333333333332
107091,Volume,BR,Sovereign,Monthly,BRL,Billions,2014-11-01,9
107092,Volume,BR,Sovereign,Monthly,BRL,Billions,2015-01-01,13
107093,Volume,BR,Sovereign,Monthly,BRL,Billions,2015-03-01,17.666666666666664
107094,Volume,BR,Sovereign,Monthly,BRL,Billions,2015-05-01,15
107095,Volume,BR,Sovereign,Monthly,BRL,Billions,2015-07-01,14.333333333333332
107096,Volume,BR,Sovereign,Monthly,BRL,Billions,2015-09-01,15
107097,Volume,BR,Sovereign,Monthly,BRL,Billions,2015-11-01,11.666666666666668
107098,Volume,BR,Sovereign,Monthly,BRL,Billions,2016-01-01,11.666666666666668
